Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
2.0,4.0,3.0,131.0,108.0,2500000100,2500.0
2.0,4.0,3.0,131.0,108.0,2500000000,2500.0
0.0,3.0,3.0,130.0,108.0,2500000000,2500.0
1.0,6.0,3.0,85.0,108.0,890000000,890.0
2.0,3.0,2.0,106.0,96.0,1599900000,1599.9
0.0,4.0,3.0,160.0,144.0,2350000000,2350.0
0.0,3.0,3.0,123.0,114.0,2200000000,2200.0
0.0,3.0,2.0,120.0,62.0,550000000,550.0
0.0,2.0,1.0,40.0,57.0,455000000,455.0
0.0,3.0,2.0,60.0,69.0,1217000000,1217.0
0.0,2.0,2.0,106.0,98.0,1200000000,1200.0
0.0,3.0,1.0,180.0,220.0,1975000000,1975.0
0.0,5.0,2.0,110.0,164.0,1600000000,1600.0
1.0,3.0,1.0,100.0,150.0,1500000000,1500.0
2.0,2.0,2.0,71.0,72.0,675000000,675.0
2.0,3.0,2.0,92.0,113.0,1800000000,1800.0
0.0,4.0,4.0,170.0,96.0,1000000000,1000.0
2.0,3.0,2.0,91.0,113.0,1800000000,1800.0
0.0,3.0,2.0,86.0,103.0,1010000000,1010.0
1.0,2.0,2.0,50.0,138.0,1600000000,1600.0
0.0,3.0,3.0,170.0,149.0,990000000,990.0
0.0,3.0,3.0,200.0,140.0,2300000000,2300.0
0.0,4.0,3.0,210.0,310.0,3500000000,3500.0
1.0,3.0,2.0,61.0,81.0,1050000000,1050.0
2.0,3.0,3.0,115.0,116.0,2349000000,2349.0
1.0,3.0,2.0,114.0,115.0,2349000000,2349.0
2.0,4.0,3.0,120.0,120.0,2450000000,2450.0
0.0,3.0,4.0,250.0,84.0,1500000000,1500.0
2.0,5.0,4.0,172.0,133.0,3390000000,3390.0
2.0,3.0,2.0,60.0,70.0,700000000,700.0
2.0,2.0,2.0,55.0,77.0,739000000,739.0
1.0,3.0,2.0,70.0,168.0,1100000000,1100.0
1.0,2.0,1.0,97.0,105.0,815000000,815.0
0.0,5.0,3.0,237.0,256.0,2950000000,2950.0
0.0,4.0,2.0,250.0,199.0,2750000000,2750.0
1.0,3.0,2.0,70.0,169.0,1100000000,1100.0
1.0,4.0,2.0,110.0,168.0,1950000000,1950.0
2.0,3.0,2.0,55.0,63.0,769500000,769.5
3.0,3.0,3.0,135.0,147.0,2300000000,2300.0
1.0,3.0,2.0,70.0,104.0,850000000,850.0
0.0,3.0,2.0,70.0,168.0,1100000000,1100.0
1.0,3.0,2.0,70.0,168.0,1100000000,1100.0
3.0,3.0,3.0,135.0,147.0,2300000000,2300.0
1.0,2.0,2.0,90.0,112.0,1100000000,1100.0
1.0,3.0,2.0,70.0,168.0,1100000000,1100.0
1.0,3.0,2.0,70.0,168.0,1100000000,1100.0
1.0,2.0,2.0,90.0,112.0,1100000000,1100.0
0.0,4.0,3.0,103.0,101.0,990000000,990.0
30.0,2.0,1.0,36.0,68.0,540000000,540.0
0.0,3.0,1.0,50.0,60.0,500000000,500.0
2.0,2.0,2.0,76.0,72.0,675000000,675.0
3.0,3.0,3.0,135.0,147.0,2299900000,2299.9
1.0,3.0,2.0,70.0,168.0,1100000000,1100.0
6.0,6.0,6.0,96.0,63.0,650000000,650.0
2.0,3.0,2.0,55.0,63.0,770000000,770.0
2.0,3.0,2.0,62.0,63.0,794500000,794.5
1.0,3.0,2.0,70.0,168.0,1100000000,1100.0
1.0,3.0,2.0,90.0,112.0,1100000000,1100.0
1.0,3.0,2.0,70.0,168.0,1100000000,1100.0
0.0,4.0,2.0,100.0,98.0,990000000,990.0
1.0,3.0,2.0,90.0,112.0,1100000000,1100.0
1.0,3.0,1.0,110.0,135.0,1300000000,1300.0
0.0,3.0,1.0,42.0,93.0,291100000,291.1
0.0,4.0,4.0,120.0,147.0,2300000000,2300.0
0.0,4.0,2.0,230.0,278.0,1350000000,1350.0
0.0,5.0,5.0,250.0,192.0,1750000000,1750.0
0.0,3.0,2.0,70.0,104.0,815000000,815.0
30.0,3.0,2.0,50.0,76.0,490000000,490.0
0.0,10.0,9.0,200.0,112.0,1450000000,1450.0
1.0,2.0,2.0,75.0,100.0,850000000,850.0
1.0,6.0,4.0,180.0,170.0,2900000000,2900.0
0.0,2.0,1.0,38.0,92.0,542000000,542.0
1.0,3.0,3.0,111.0,108.0,1300000000,1300.0
2.0,2.0,1.0,32.0,60.0,375000000,375.0
0.0,4.0,4.0,151.0,121.0,1350000000,1350.0
1.0,3.0,2.0,90.0,75.0,1200000000,1200.0
1.0,2.0,1.0,80.0,150.0,1300000000,1300.0
1.0,4.0,2.0,230.0,278.0,1300000000,1300.0
1.0,2.0,2.0,50.0,46.0,564000000,564.0
0.0,4.0,2.0,80.0,124.0,1450000000,1450.0
0.0,4.0,2.0,99.0,101.0,990000000,990.0
1.0,2.0,1.0,80.0,150.0,1350000000,1350.0
1.0,4.0,2.0,90.0,124.0,1450000000,1450.0
30.0,3.0,2.0,52.0,82.0,625000000,625.0
1.0,3.0,2.0,98.0,115.0,1500000000,1500.0
12.0,3.0,3.0,132.0,235.0,3500000000,3500.0
1.0,5.0,3.0,206.0,168.0,1800000000,1800.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
1.0,2.0,1.0,80.0,150.0,1350000000,1350.0
2.0,6.0,4.0,320.0,280.0,2900000000,2900.0
1.0,3.0,2.0,90.0,75.0,1200000000,1200.0
1.0,3.0,2.0,90.0,75.0,1200000000,1200.0
1.0,2.0,1.0,80.0,150.0,1350000000,1350.0
1.0,2.0,1.0,80.0,150.0,1350000000,1350.0
2.0,6.0,3.0,300.0,205.0,1600000000,1600.0
1.0,2.0,1.0,80.0,150.0,1350000000,1350.0
0.0,4.0,2.0,120.0,114.0,1450000000,1450.0
2.0,4.0,2.0,100.0,98.0,990000000,990.0
0.0,4.0,2.0,190.0,90.0,1500000000,1500.0
0.0,4.0,3.0,100.0,98.0,990000000,990.0
0.0,3.0,2.0,80.0,150.0,1350000000,1350.0
20.0,2.0,1.0,36.0,66.0,500000000,500.0
0.0,2.0,1.0,80.0,150.0,1350000000,1350.0
1.0,4.0,2.0,100.0,98.0,990000000,990.0
2.0,3.0,3.0,200.0,157.0,3200000000,3200.0
0.0,4.0,2.0,100.0,98.0,990000000,990.0
0.0,3.0,2.0,200.0,157.0,3200000000,3200.0
1.0,3.0,3.0,200.0,157.0,3200000000,3200.0
3.0,6.0,4.0,180.0,170.0,2900000000,2900.0
0.0,3.0,2.0,110.0,135.0,1200000000,1200.0
0.0,5.0,5.0,250.0,190.0,1555000000,1555.0
0.0,5.0,3.0,180.0,170.0,2900000000,2900.0
0.0,6.0,2.0,100.0,60.0,450000000,450.0
1.0,3.0,2.0,109.0,108.0,1300000000,1300.0
1.0,3.0,2.0,120.0,133.0,1499900000,1499.9
0.0,3.0,2.0,75.0,96.0,710000000,710.0
0.0,3.0,2.0,70.0,104.0,815000000,815.0
0.0,3.0,2.0,82.0,72.0,1300000000,1300.0
0.0,2.0,1.0,51.0,102.0,1250000000,1250.0
0.0,4.0,2.0,85.0,131.0,999999999,1000.0
0.0,3.0,2.0,100.0,113.0,1450000000,1450.0
1.0,1.0,1.0,60.0,60.0,500000000,500.0
0.0,3.0,3.0,120.0,188.0,1650000000,1650.0
0.0,5.0,5.0,80.0,82.0,500000000,500.0
1.0,3.0,2.0,90.0,75.0,1050000000,1050.0
1.0,4.0,3.0,120.0,100.0,1150000000,1150.0
1.0,3.0,2.0,98.0,115.0,1500000000,1500.0
0.0,5.0,5.0,198.0,250.0,1600000000,1600.0
0.0,3.0,2.0,100.0,120.0,850000000,850.0
0.0,3.0,2.0,100.0,108.0,1100000000,1100.0
1.0,3.0,2.0,110.0,135.0,1300000000,1300.0
1.0,3.0,1.0,60.0,93.0,870000000,870.0
1.0,2.0,2.0,110.0,135.0,1299900000,1299.9
2.0,3.0,2.0,115.0,98.0,1500000000,1500.0
1.0,2.0,1.0,110.0,135.0,1300000000,1300.0
0.0,3.0,2.0,120.0,81.0,1250000000,1250.0
1.0,2.0,2.0,110.0,126.0,950000000,950.0
1.0,5.0,5.0,250.0,192.0,1750000000,1750.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
2.0,4.0,2.0,245.0,140.0,950000000,950.0
1.0,3.0,2.0,94.0,60.0,1000000000,1000.0
1.0,4.0,2.0,180.0,112.0,1500000000,1500.0
2.0,3.0,2.0,85.0,90.0,1500000000,1500.0
2.0,4.0,2.0,103.0,148.0,2000000000,2000.0
2.0,3.0,2.0,120.0,133.0,1500000000,1500.0
1.0,2.0,1.0,40.0,71.0,802000000,802.0
1.0,3.0,1.0,60.0,93.0,870000000,870.0
1.0,3.0,2.0,110.0,135.0,1300000000,1300.0
2.0,5.0,5.0,250.0,198.0,1800000000,1800.0
3.0,5.0,3.0,180.0,170.0,2900000000,2900.0
2.0,6.0,3.0,288.0,176.0,2500000000,2500.0
3.0,5.0,3.0,180.0,170.0,2900000000,2900.0
0.0,4.0,2.0,80.0,124.0,1450000000,1450.0
3.0,5.0,3.0,180.0,170.0,2900000000,2900.0
0.0,6.0,4.0,180.0,170.0,2900000000,2900.0
2.0,2.0,1.0,75.0,125.0,950000000,950.0
2.0,4.0,2.0,230.0,278.0,1350000000,1350.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
1.0,3.0,2.0,94.0,60.0,1000000000,1000.0
10.0,5.0,2.0,110.0,135.0,2100000000,2100.0
1.0,14.0,3.0,175.0,112.0,1300000000,1300.0
0.0,3.0,2.0,100.0,113.0,1450000000,1450.0
1.0,4.0,2.0,144.0,144.0,900000000,900.0
2.0,5.0,5.0,250.0,192.0,1550000000,1550.0
1.0,5.0,2.0,140.0,144.0,975000000,975.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
1.0,2.0,1.0,40.0,71.0,802000000,802.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
1.0,3.0,2.0,70.0,104.0,815000000,815.0
0.0,3.0,2.0,62.0,92.0,703000000,703.0
0.0,10.0,3.0,103.0,148.0,1300000000,1300.0
1.0,3.0,3.0,115.0,90.0,1449900000,1449.9
0.0,2.0,2.0,65.0,87.0,1100000000,1100.0
1.0,2.0,2.0,50.0,72.0,779000000,779.0
1.0,3.0,2.0,75.0,96.0,710000000,710.0
1.0,3.0,3.0,100.0,144.0,2100000000,2100.0
1.0,3.0,2.0,90.0,112.0,1100000000,1100.0
1.0,3.0,1.0,100.0,138.0,1300000000,1300.0
1.0,3.0,2.0,75.0,70.0,499000000,499.0
0.0,2.0,2.0,51.0,92.0,742000000,742.0
0.0,3.0,2.0,90.0,112.0,1100000000,1100.0
2.0,4.0,2.0,85.0,92.0,1049500000,1049.5
1.0,2.0,1.0,45.0,65.0,595000000,595.0
1.0,2.0,2.0,60.0,70.0,750000000,750.0
1.0,2.0,1.0,33.0,65.0,398000000,398.0
1.0,2.0,2.0,60.0,70.0,750000000,750.0
0.0,4.0,3.0,165.0,200.0,1950000000,1950.0
0.0,7.0,5.0,250.0,160.0,3100000000,3100.0
1.0,3.0,4.0,110.0,105.0,2000000000,2000.0
0.0,4.0,3.0,202.0,109.0,1995000000,1995.0
0.0,3.0,2.0,200.0,165.0,1950000000,1950.0
0.0,4.0,4.0,155.0,120.0,1300000000,1300.0
2.0,4.0,2.0,100.0,120.0,1350000000,1350.0
0.0,3.0,2.0,100.0,135.0,1699000000,1699.0
1.0,4.0,2.0,85.0,133.0,899000000,899.0
1.0,3.0,2.0,85.0,90.0,1500000000,1500.0
1.0,2.0,2.0,150.0,119.0,995000000,995.0
1.0,3.0,3.0,100.0,140.0,900000000,900.0
1.0,4.0,2.0,85.0,133.0,1000000000,1000.0
0.0,2.0,1.0,50.0,45.0,885000000,885.0
0.0,3.0,2.0,92.0,66.0,1200000000,1200.0
1.0,4.0,2.0,85.0,133.0,900000000,900.0
2.0,5.0,3.0,200.0,216.0,2560000000,2560.0
0.0,3.0,3.0,136.0,98.0,1200000000,1200.0
15.0,4.0,3.0,135.0,135.0,1599000000,1599.0
0.0,4.0,4.0,230.0,160.0,2400000000,2400.0
0.0,3.0,2.0,120.0,70.0,865000000,865.0
0.0,5.0,2.0,150.0,119.0,995000000,995.0
0.0,2.0,1.0,86.0,92.0,1250000000,1250.0
0.0,2.0,1.0,39.0,72.0,400000000,400.0
0.0,5.0,5.0,250.0,194.0,1750000000,1750.0
0.0,2.0,1.0,40.0,60.0,580000000,580.0
1.0,3.0,3.0,115.0,93.0,1650000000,1650.0
1.0,4.0,3.0,160.0,126.0,2150000000,2150.0
1.0,3.0,2.0,110.0,135.0,1200000000,1200.0
0.0,5.0,3.0,180.0,268.0,3500000000,3500.0
1.0,3.0,2.0,100.0,120.0,1450000000,1450.0
2.0,5.0,3.0,160.0,237.0,2750000000,2750.0
1.0,3.0,2.0,136.0,96.0,1300000000,1300.0
90.0,3.0,2.0,85.0,90.0,1500000000,1500.0
1.0,6.0,3.0,144.0,90.0,1200000000,1200.0
0.0,4.0,3.0,400.0,348.0,3500000000,3500.0
2.0,5.0,5.0,250.0,192.0,1700000000,1700.0
2.0,3.0,2.0,66.0,92.0,1270000000,1270.0
0.0,2.0,2.0,50.0,93.0,742000000,742.0
2.0,4.0,2.0,85.0,92.0,1050000000,1050.0
2.0,4.0,4.0,250.0,192.0,1550000000,1550.0
2.0,3.0,2.0,100.0,108.0,1090000000,1090.0
1.0,5.0,3.0,160.0,105.0,980000000,980.0
2.0,5.0,5.0,250.0,190.0,1550000000,1550.0
0.0,3.0,2.0,83.0,86.0,1300000000,1300.0
1.0,2.0,1.0,33.0,64.0,350000000,350.0
1.0,2.0,1.0,45.0,64.0,595087000,595.09
1.0,2.0,2.0,60.0,69.0,750000000,750.0
3.0,5.0,2.0,150.0,119.0,995000000,995.0
0.0,5.0,3.0,280.0,120.0,2300000000,2300.0
0.0,2.0,1.0,55.0,90.0,695000000,695.0
0.0,4.0,3.0,150.0,126.0,2300000000,2300.0
4.0,3.0,2.0,212.0,256.0,2750000000,2750.0
2.0,3.0,2.0,109.0,90.0,1250000000,1250.0
0.0,3.0,2.0,85.0,90.0,1499000000,1499.0
0.0,6.0,5.0,150.0,279.0,2800000000,2800.0
1.0,4.0,2.0,100.0,98.0,990000000,990.0
1.0,3.0,3.0,108.0,108.0,1300000000,1300.0
0.0,4.0,2.0,230.0,278.0,1350000000,1350.0
0.0,5.0,3.0,160.0,237.0,2750000000,2750.0
0.0,3.0,2.0,85.0,90.0,1500000000,1500.0
1.0,3.0,2.0,97.0,107.0,1249900000,1249.9
0.0,6.0,2.0,144.0,90.0,1200000000,1200.0
0.0,3.0,3.0,140.0,96.0,1200000000,1200.0
0.0,2.0,1.0,36.0,95.0,449000000,449.0
1.0,2.0,1.0,33.0,63.0,350068700,350.07
1.0,2.0,1.0,45.0,63.0,595000000,595.0
1.0,2.0,2.0,60.0,68.0,750000000,750.0
1.0,3.0,2.0,110.0,135.0,1200000000,1200.0
1.0,5.0,5.0,250.0,192.0,1550000000,1550.0
0.0,2.0,1.0,60.0,108.0,1399000000,1399.0
0.0,2.0,1.0,58.0,55.0,666000000,666.0
1.0,3.0,3.0,176.0,136.0,2120000000,2120.0
1.0,3.0,2.0,85.0,90.0,1500000000,1500.0
0.0,2.0,2.0,50.0,72.0,980000000,980.0
2.0,4.0,3.0,95.0,90.0,1500000000,1500.0
1.0,2.0,2.0,59.0,55.0,673000000,673.0
1.0,5.0,2.0,96.0,110.0,949000000,949.0
1.0,3.0,3.0,90.0,84.0,1175000000,1175.0
0.0,7.0,4.0,350.0,239.0,3500000000,3500.0
1.0,3.0,3.0,120.0,188.0,1675000000,1675.0
0.0,4.0,3.0,160.0,126.0,2150000000,2150.0
0.0,2.0,2.0,75.0,100.0,850000000,850.0
0.0,2.0,2.0,75.0,100.0,850000000,850.0
1.0,3.0,2.0,95.0,95.0,900000000,900.0
0.0,4.0,4.0,197.0,230.0,2450000000,2450.0
0.0,4.0,2.0,230.0,278.0,1300000000,1300.0
0.0,3.0,2.0,120.0,90.0,1200000000,1200.0
0.0,5.0,2.0,110.0,135.0,2100000000,2100.0
0.0,5.0,3.0,200.0,216.0,2560000000,2560.0
0.0,4.0,3.0,200.0,245.0,3500000000,3500.0
0.0,4.0,3.0,220.0,256.0,2900000000,2900.0
0.0,3.0,2.0,120.0,187.0,1300000000,1300.0
1.0,3.0,2.0,110.0,135.0,1200000000,1200.0
1.0,3.0,2.0,140.0,86.0,1400000000,1400.0
0.0,3.0,2.0,110.0,135.0,1200000000,1200.0
1.0,3.0,2.0,110.0,135.0,1200000000,1200.0
1.0,2.0,1.0,40.0,72.0,629900000,629.9
1.0,4.0,2.0,160.0,126.0,2150000000,2150.0
1.0,3.0,2.0,110.0,135.0,1199000000,1199.0
4.0,4.0,3.0,220.0,256.0,2900000000,2900.0
0.0,4.0,3.0,216.0,200.0,2550000000,2550.0
4.0,4.0,3.0,220.0,256.0,2900000000,2900.0
0.0,10.0,5.0,194.0,154.0,1150000000,1150.0
1.0,5.0,3.0,250.0,120.0,1300000000,1300.0
1.0,3.0,2.0,80.0,150.0,1500000000,1500.0
0.0,3.0,2.0,55.0,105.0,552000000,552.0
1.0,4.0,4.0,105.0,93.0,1650000000,1650.0
0.0,3.0,3.0,160.0,232.0,1650000000,1650.0
0.0,4.0,2.0,230.0,278.0,1300000000,1300.0
2.0,3.0,3.0,90.0,107.0,1267000000,1267.0
0.0,2.0,2.0,51.0,90.0,742000000,742.0
0.0,4.0,3.0,202.0,109.0,1985000000,1985.0
0.0,4.0,3.0,320.0,168.0,1500000000,1500.0
0.0,4.0,2.0,180.0,90.0,975000000,975.0
1.0,4.0,2.0,150.0,78.0,1200000000,1200.0
4.0,6.0,4.0,150.0,279.0,3000000000,3000.0
0.0,4.0,2.0,230.0,278.0,1300000000,1300.0
0.0,3.0,2.0,100.0,112.0,1100000000,1100.0
0.0,3.0,2.0,105.0,96.0,1350000000,1350.0
1.0,3.0,3.0,144.0,96.0,1200000000,1200.0
1.0,3.0,2.0,140.0,85.0,1100000000,1100.0
0.0,4.0,3.0,98.0,135.0,950000000,950.0
0.0,2.0,1.0,40.0,57.0,456000000,456.0
0.0,3.0,2.0,140.0,85.0,1100000000,1100.0
0.0,3.0,2.0,212.0,256.0,2900000000,2900.0
1.0,4.0,2.0,153.0,184.0,1500000000,1500.0
0.0,5.0,2.0,90.0,160.0,1100000000,1100.0
1.0,2.0,1.0,37.0,91.0,542000000,542.0
1.0,2.0,1.0,36.0,70.0,750000000,750.0
3.0,5.0,5.0,100.0,308.0,2500000000,2500.0
2.0,4.0,2.0,230.0,278.0,1350000000,1350.0
0.0,3.0,2.0,140.0,85.0,1100000000,1100.0
1.0,5.0,2.0,140.0,144.0,1100000000,1100.0
1.0,3.0,1.0,200.0,144.0,1200000000,1200.0
0.0,3.0,3.0,120.0,188.0,1675000000,1675.0
