Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
3.0,2.0,240.0,331.0,2500000000,2500.0
4.0,2.0,220.0,231.0,2500000000,2500.0
2.0,1.0,61.0,89.0,350000000,350.0
2.0,1.0,45.0,100.0,575000000,575.0
4.0,3.0,137.0,114.0,2400000000,2400.0
4.0,3.0,150.0,118.0,875000000,875.0
3.0,2.0,75.0,100.0,695000000,695.0
3.0,3.0,135.0,147.0,2300000000,2300.0
3.0,3.0,150.0,120.0,1500000000,1500.0
4.0,2.0,85.0,84.0,950000000,950.0
2.0,2.0,72.0,69.0,695000000,695.0
2.0,1.0,54.0,99.0,800000000,800.0
4.0,4.0,205.0,300.0,2800000000,2800.0
2.0,1.0,46.0,66.0,492900000,492.9
2.0,1.0,45.0,67.0,593900000,593.9
3.0,2.0,240.0,331.0,2500000000,2500.0
4.0,3.0,330.0,220.0,2900000000,2900.0
4.0,2.0,139.0,137.0,861100000,861.1
5.0,4.0,170.0,120.0,1350000000,1350.0
3.0,3.0,300.0,220.0,2900000000,2900.0
3.0,3.0,135.0,147.0,2300000000,2300.0
2.0,1.0,54.0,99.0,800000000,800.0
3.0,2.0,135.0,124.0,1200000000,1200.0
4.0,4.0,173.0,173.0,1600000000,1600.0
3.0,3.0,90.0,140.0,780000000,780.0
5.0,5.0,200.0,185.0,1500000000,1500.0
4.0,4.0,155.0,119.0,1300000000,1300.0
2.0,1.0,40.0,62.0,400000000,400.0
3.0,2.0,100.0,100.0,950000000,950.0
3.0,1.0,122.0,232.0,900000000,900.0
5.0,4.0,150.0,160.0,990000000,990.0
3.0,2.0,90.0,90.0,450000000,450.0
2.0,2.0,55.0,90.0,750000000,750.0
3.0,3.0,150.0,160.0,995000000,995.0
2.0,1.0,40.0,72.0,620000000,620.0
4.0,2.0,139.0,137.0,861000000,861.0
2.0,2.0,55.0,63.0,770000000,770.0
4.0,2.0,85.0,133.0,1000000000,1000.0
3.0,2.0,120.0,114.0,1450000000,1450.0
4.0,3.0,104.0,84.0,1200000000,1200.0
3.0,3.0,150.0,120.0,1499000000,1499.0
3.0,2.0,110.0,100.0,945000000,945.0
3.0,2.0,100.0,100.0,950000000,950.0
3.0,2.0,55.0,68.0,680000000,680.0
5.0,3.0,176.0,176.0,1800000000,1800.0
2.0,1.0,54.0,99.0,800000000,800.0
3.0,2.0,100.0,100.0,950000000,950.0
4.0,4.0,155.0,120.0,1300000000,1300.0
2.0,1.0,60.0,144.0,1100000000,1100.0
3.0,2.0,86.0,95.0,1750000000,1750.0
3.0,2.0,180.0,120.0,1400000000,1400.0
4.0,3.0,150.0,155.0,1900000000,1900.0
5.0,3.0,200.0,124.0,1700000000,1700.0
3.0,2.0,70.0,63.0,835000000,835.0
2.0,1.0,40.0,72.0,630000000,630.0
4.0,2.0,100.0,98.0,990000000,990.0
4.0,4.0,120.0,147.0,2300000000,2300.0
23.0,1.0,90.0,124.0,670000000,670.0
6.0,4.0,200.0,240.0,2750000000,2750.0
2.0,1.0,54.0,99.0,800000000,800.0
3.0,2.0,72.0,88.0,1050000000,1050.0
3.0,2.0,119.0,85.0,1299500000,1299.5
4.0,2.0,85.0,133.0,1050000000,1050.0
2.0,2.0,59.0,72.0,674635000,674.64
2.0,2.0,55.0,90.0,750000000,750.0
4.0,4.0,250.0,192.0,1750000000,1750.0
3.0,4.0,135.0,147.0,2300000000,2300.0
3.0,2.0,120.0,114.0,1450000000,1450.0
6.0,4.0,200.0,145.0,1900000000,1900.0
3.0,2.0,60.0,71.0,654000000,654.0
2.0,1.0,40.0,65.0,595000000,595.0
4.0,2.0,120.0,162.0,1700000000,1700.0
2.0,1.0,46.0,115.0,579000000,579.0
3.0,1.0,75.0,142.0,835000000,835.0
2.0,2.0,75.0,112.0,1200000000,1200.0
4.0,2.0,150.0,135.0,700000000,700.0
4.0,4.0,180.0,99.0,1500000000,1500.0
3.0,3.0,170.0,120.0,1500000000,1500.0
2.0,2.0,90.0,100.0,925000000,925.0
4.0,4.0,155.0,119.0,1300000000,1300.0
4.0,3.0,190.0,230.0,1675000000,1675.0
2.0,1.0,46.0,68.0,595000000,595.0
3.0,2.0,105.0,120.0,850000000,850.0
4.0,3.0,133.0,118.0,800000000,800.0
4.0,2.0,140.0,176.0,1300000000,1300.0
3.0,1.0,120.0,99.0,990000000,990.0
4.0,2.0,110.0,98.0,1400000000,1400.0
3.0,3.0,150.0,102.0,1375000000,1375.0
2.0,1.0,50.0,100.0,740000000,740.0
3.0,2.0,135.0,104.0,1200000000,1200.0
3.0,2.0,70.0,95.0,900000000,900.0
3.0,3.0,150.0,120.0,1499000000,1499.0
3.0,3.0,134.0,119.0,1500000000,1500.0
4.0,4.0,155.0,119.0,1300000000,1300.0
3.0,3.0,245.0,186.0,1300000000,1300.0
4.0,3.0,135.0,96.0,1150000000,1150.0
2.0,1.0,60.0,126.0,1225000000,1225.0
4.0,2.0,150.0,135.0,700000000,700.0
3.0,2.0,135.0,104.0,1200000000,1200.0
6.0,3.0,288.0,176.0,2500000000,2500.0
3.0,2.0,70.0,95.0,850000000,850.0
4.0,3.0,150.0,142.0,2650000000,2650.0
2.0,1.0,70.0,90.0,960000000,960.0
2.0,2.0,75.0,100.0,850000000,850.0
4.0,3.0,200.0,238.0,1399000000,1399.0
4.0,2.0,150.0,135.0,700000000,700.0
2.0,1.0,50.0,75.0,748000000,748.0
2.0,1.0,80.0,75.0,800000000,800.0
2.0,2.0,70.0,100.0,850000000,850.0
3.0,2.0,70.0,95.0,900000000,900.0
3.0,3.0,100.0,100.0,1150000000,1150.0
4.0,3.0,180.0,260.0,1400000000,1400.0
2.0,2.0,126.0,140.0,900000000,900.0
4.0,3.0,92.0,189.0,1700000000,1700.0
2.0,1.0,50.0,100.0,750000000,750.0
4.0,2.0,110.0,143.0,1050000000,1050.0
4.0,2.0,85.0,135.0,1000000000,1000.0
2.0,2.0,60.0,100.0,700000000,700.0
4.0,2.0,85.0,133.0,1000000000,1000.0
5.0,2.0,120.0,187.0,1700000000,1700.0
2.0,2.0,75.0,100.0,850000000,850.0
2.0,2.0,172.0,285.0,2200000000,2200.0
4.0,2.0,220.0,120.0,1300000000,1300.0
4.0,2.0,85.0,133.0,1000000000,1000.0
2.0,1.0,58.0,83.0,691000000,691.0
5.0,3.0,200.0,216.0,2560000000,2560.0
5.0,4.0,170.0,133.0,1850000000,1850.0
4.0,2.0,250.0,125.0,665000000,665.0
4.0,3.0,93.0,85.0,1050000000,1050.0
4.0,2.0,220.0,120.0,1300000000,1300.0
3.0,3.0,120.0,70.0,975000000,975.0
5.0,2.0,150.0,256.0,1900000000,1900.0
2.0,2.0,61.0,62.0,794990000,794.99
4.0,2.0,100.0,96.0,1100000000,1100.0
3.0,2.0,100.0,120.0,1100000000,1100.0
3.0,2.0,73.0,106.0,1350000000,1350.0
3.0,2.0,150.0,155.0,2200000000,2200.0
2.0,1.0,46.0,67.0,589995000,590.0
2.0,1.0,80.0,96.0,820000000,820.0
7.0,5.0,200.0,300.0,2600000000,2600.0
4.0,3.0,176.0,176.0,1800000000,1800.0
2.0,1.0,80.0,113.0,1200000000,1200.0
2.0,2.0,84.0,108.0,1299000000,1299.0
2.0,2.0,62.0,63.0,795000000,795.0
3.0,3.0,100.0,100.0,1150000000,1150.0
3.0,3.0,120.0,70.0,975000000,975.0
2.0,2.0,62.0,63.0,795000000,795.0
2.0,1.0,40.0,72.0,580000000,580.0
4.0,3.0,200.0,128.0,1575000000,1575.0
2.0,1.0,40.0,70.0,650000000,650.0
3.0,2.0,120.0,151.0,1800000000,1800.0
3.0,2.0,95.0,95.0,900000000,900.0
2.0,2.0,75.0,100.0,850000000,850.0
5.0,4.0,200.0,220.0,2600000000,2600.0
2.0,1.0,48.0,72.0,580000000,580.0
3.0,3.0,180.0,200.0,2750000000,2750.0
1.0,1.0,180.0,200.0,2750000000,2750.0
3.0,2.0,75.0,96.0,710000000,710.0
2.0,2.0,75.0,110.0,1200000000,1200.0
3.0,2.0,75.0,109.0,850000000,850.0
2.0,2.0,72.0,80.0,696000000,696.0
3.0,2.0,133.0,209.0,1350000000,1350.0
3.0,2.0,75.0,113.0,950000000,950.0
3.0,2.0,160.0,327.0,1600000000,1600.0
3.0,2.0,140.0,85.0,1100000000,1100.0
2.0,2.0,80.0,120.0,975000000,975.0
2.0,1.0,45.0,108.0,700000000,700.0
2.0,2.0,55.0,63.0,790000000,790.0
2.0,1.0,45.0,108.0,775000000,775.0
4.0,2.0,153.0,184.0,1500000000,1500.0
5.0,3.0,154.0,120.0,1500000000,1500.0
3.0,3.0,100.0,170.0,1200000000,1200.0
3.0,1.0,85.0,100.0,750000000,750.0
4.0,2.0,85.0,92.0,980000000,980.0
2.0,2.0,52.0,87.0,680000000,680.0
2.0,2.0,52.0,87.0,680000000,680.0
4.0,3.0,160.0,118.0,775000000,775.0
3.0,2.0,100.0,176.0,1200000000,1200.0
3.0,2.0,85.0,140.0,1100000000,1100.0
3.0,2.0,78.0,98.0,794000000,794.0
3.0,2.0,120.0,143.0,1300000000,1300.0
4.0,2.0,120.0,114.0,1500000000,1500.0
4.0,1.0,100.0,125.0,600000000,600.0
2.0,1.0,40.0,72.0,630000000,630.0
2.0,1.0,48.0,84.0,680000000,680.0
4.0,2.0,100.0,142.0,999000000,999.0
3.0,1.0,80.0,140.0,1275000000,1275.0
2.0,1.0,50.0,88.0,750000000,750.0
3.0,2.0,120.0,152.0,540000000,540.0
4.0,3.0,140.0,169.0,1900000000,1900.0
3.0,2.0,83.0,100.0,1100000000,1100.0
3.0,2.0,80.0,105.0,875000000,875.0
3.0,4.0,140.0,169.0,1900000000,1900.0
2.0,1.0,40.0,72.0,630000000,630.0
3.0,2.0,190.0,160.0,1900000000,1900.0
3.0,2.0,72.0,80.0,696000000,696.0
3.0,3.0,135.0,96.0,1197000000,1197.0
2.0,1.0,50.0,70.0,650000000,650.0
4.0,3.0,120.0,70.0,975000000,975.0
4.0,2.0,120.0,114.0,1500000000,1500.0
5.0,2.0,140.0,88.0,1200000000,1200.0
3.0,2.0,100.0,176.0,1200000000,1200.0
5.0,4.0,170.0,133.0,1850000000,1850.0
3.0,3.0,140.0,176.0,1750000000,1750.0
9.0,9.0,209.0,136.0,2000000000,2000.0
2.0,1.0,50.0,45.0,830000000,830.0
3.0,3.0,150.0,102.0,1375000000,1375.0
4.0,3.0,150.0,118.0,875000000,875.0
3.0,1.0,120.0,99.0,995000000,995.0
7.0,4.0,305.0,312.0,1700000000,1700.0
3.0,3.0,150.0,102.0,1375000000,1375.0
4.0,3.0,150.0,118.0,775000000,775.0
3.0,1.0,120.0,99.0,995000000,995.0
3.0,2.0,75.0,113.0,950000000,950.0
3.0,2.0,78.0,98.0,794000000,794.0
3.0,2.0,100.0,176.0,1200000000,1200.0
3.0,2.0,350.0,400.0,2850000000,2850.0
4.0,3.0,180.0,199.0,2650000000,2650.0
7.0,4.0,312.0,305.0,1500000000,1500.0
3.0,2.0,100.0,176.0,1200000000,1200.0
2.0,1.0,80.0,140.0,1275000000,1275.0
3.0,2.0,100.0,176.0,1200000000,1200.0
2.0,1.0,50.0,73.0,680000000,680.0
3.0,2.0,210.0,153.0,1600000000,1600.0
4.0,3.0,176.0,176.0,1900000000,1900.0
5.0,3.0,220.0,231.0,2500000000,2500.0
3.0,2.0,250.0,230.0,2500000000,2500.0
3.0,2.0,200.0,240.0,2800000000,2800.0
3.0,3.0,110.0,150.0,799000000,799.0
3.0,2.0,218.0,153.0,1600000000,1600.0
3.0,2.0,250.0,306.0,2750000000,2750.0
2.0,2.0,60.0,85.0,975000000,975.0
4.0,3.0,112.0,85.0,979990000,979.99
4.0,2.0,110.0,98.0,1450000000,1450.0
4.0,3.0,140.0,176.0,1900000000,1900.0
2.0,1.0,54.0,72.0,630000000,630.0
2.0,1.0,50.0,78.0,670000000,670.0
3.0,3.0,100.0,100.0,1200000000,1200.0
4.0,2.0,86.0,92.0,981000000,981.0
4.0,4.0,155.0,119.0,1300000000,1300.0
3.0,1.0,122.0,99.0,995000000,995.0
3.0,2.0,90.0,90.0,450000000,450.0
3.0,1.0,120.0,99.0,995000000,995.0
4.0,4.0,155.0,119.0,1300000000,1300.0
5.0,3.0,187.0,215.0,1450000000,1450.0
3.0,2.0,90.0,90.0,550000000,550.0
2.0,1.0,60.0,140.0,630000000,630.0
4.0,2.0,100.0,149.0,975000000,975.0
2.0,1.0,45.0,108.0,785000000,785.0
4.0,2.0,92.0,85.0,980000000,980.0
2.0,1.0,50.0,72.0,725000000,725.0
2.0,1.0,36.0,68.0,531000000,531.0
3.0,2.0,90.0,108.0,1250000000,1250.0
4.0,3.0,135.0,96.0,1150000000,1150.0
2.0,1.0,40.0,60.0,580000000,580.0
2.0,1.0,50.0,78.0,670000000,670.0
2.0,1.0,50.0,78.0,670000000,670.0
2.0,1.0,44.0,67.0,589990000,589.99
3.0,2.0,49.0,76.0,499999593,500.0
3.0,2.0,60.0,71.0,654000000,654.0
2.0,1.0,80.0,108.0,1250000000,1250.0
3.0,2.0,80.0,104.0,680000000,680.0
3.0,2.0,65.0,98.0,785000000,785.0
2.0,1.0,50.0,78.0,670000000,670.0
3.0,1.0,100.0,300.0,1200000000,1200.0
2.0,1.0,45.0,67.0,590000000,590.0
2.0,1.0,45.0,100.0,550000000,550.0
3.0,2.0,155.0,100.0,1200000000,1200.0
5.0,4.0,250.0,210.0,2500000000,2500.0
3.0,3.0,100.0,100.0,1200000000,1200.0
4.0,2.0,200.0,225.0,910000000,910.0
2.0,1.0,50.0,92.0,800000000,800.0
2.0,2.0,75.0,100.0,950000000,950.0
4.0,2.0,106.0,98.0,1450000000,1450.0
3.0,3.0,150.0,102.0,1475000000,1475.0
3.0,3.0,100.0,100.0,1250000000,1250.0
4.0,2.0,100.0,149.0,1050000000,1050.0
3.0,1.0,100.0,300.0,1200000000,1200.0
2.0,1.0,40.0,72.0,499000000,499.0
4.0,2.0,240.0,125.0,1350000000,1350.0
3.0,3.0,150.0,120.0,1500000000,1500.0
